"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Brad Miller","2021","2B","PHI","$3,500,000","$3,500,000","$3,500,000",""
"","Leury Garcia","2021","OF","CHW","$3,500,000","$3,500,000","$3,500,000",""
"","Luis Robert","2021","CF","CHW","$3,500,000","$3,500,000","$3,500,000",""
"","Jason Castro","2021","C","HOU","$2,500,000","$3,500,000","$3,500,000",""
"","Martin Maldonado","2021","C","HOU","$3,500,000","$3,500,000","$3,500,000",""
"","Max Fried","2021","SP","ATL","$3,500,000","$3,500,000","$3,500,000",""
"","Stephen Vogt","2021","C","ATL","$3,500,000","$3,500,000","$1,467,726",""
"","Joakim Soria","2021","RP/CL","TOR","$3,500,000","$3,500,000","$1,223,105",""
"","Daniel Norris","2021","RP","MIL","$3,475,000","$3,475,000","$1,214,395",""
"","Jose Urena","2021","SP","DET","$3,250,000","$3,450,000","$3,450,000",""
"","Manuel Margot","2021","RF","TB","$3,400,000","$3,400,000","$3,400,000",""
"","Brad Keller","2021","SP","KC","$3,350,000","$3,350,000","$3,350,000",""
"","Brandon Woodruff","2021","SP","MIL","$3,275,000","$3,275,000","$3,275,000",""
"","Aaron Loup","2021","RP","NYM","$3,000,000","$3,250,000","$3,250,000",""
"","Donovan Solano","2021","2B","SF","$3,250,000","$3,250,000","$3,250,000",""
"","Jesse Winker","2021","LF","CIN","$3,150,000","$3,150,000","$3,150,000",""
"","Michael Fulmer","2021","RP","DET","$3,100,000","$3,100,000","$3,100,000",""
"","Mitch Haniger","2021","RF","SEA","$3,010,000","$3,010,000","$3,010,000",""
"","Yusmeiro Petit","2021","RP","OAK","$2,550,000","$3,000,000","$3,000,000",""
"","Julio Teheran","2021","SP","DET","$3,000,000","$3,000,000","$3,000,000",""
"","Shohei Ohtani","2021","SP","LAA","$3,000,000","$3,000,000","$3,000,000",""
"","Matt Moore","2021","RP","PHI","$3,000,000","$3,000,000","$3,000,000",""
"","Wilmer Flores","2021","2B","SF","$3,000,000","$3,000,000","$3,000,000",""
"","Carlos Rodon","2021","SP","CHW","$3,000,000","$3,000,000","$3,000,000",""
"","Aledmys Diaz","2021","SS","HOU","$3,000,000","$3,000,000","$3,000,000",""
"","Michael Wacha","2021","SP","TB","$3,000,000","$3,000,000","$3,000,000",""
"","Ozzie Albies","2021","2B","ATL","$3,000,000","$3,000,000","$3,000,000",""
"","Antonio Senzatela","2021","SP","COL","$3,000,000","$3,000,000","$3,000,000",""
"","Ross Stripling","2021","SP","TOR","$3,000,000","$3,000,000","$3,000,000",""
"","Seth Lugo","2021","RP","NYM","$2,925,000","$2,925,000","$2,925,000",""
"","Daniel Bard","2021","RP","COL","$2,925,000","$2,925,000","$2,925,000",""
"","Jeimer Candelario","2021","1B","DET","$2,850,000","$2,850,000","$2,850,000",""
"","Trevor Williams","2021","SP","NYM","$2,500,000","$2,850,000","$199,355",""
"","Brett Gardner","2021","LF","NYY","$1,850,000","$2,850,000","$2,850,000",""
"","Justin Wilson","2021","RP","CIN","$2,850,000","$2,850,000","$1,011,318",""
"","Colin Moran","2021","1B","PIT","$2,800,000","$2,800,000","$2,800,000",""
"","Michael Soroka","2021","SP","ATL","$2,800,000","$2,800,000","$2,800,000",""
"","Andrew Chafin","2021","RP","OAK","$2,250,000","$2,750,000","$822,596",""
"","Dominic Smith","2021","LF","NYM","$2,550,000","$2,550,000","$2,550,000",""
